"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LLC_BI__Description__c","LLC_BI__docManager__c","LLC_BI__docTab__c","LLC_BI__lookupId__c","LLC_BI__lookupKey__c","LLC_BI__sortOrder__c","AutorabitExtId__c"
"a0K3g000001QHYzEAO","0053g000000ln7zAAA","","Generated Forms","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42330509127370760","",""
"a0K3g000001QHZ0EAO","0053g000000ln7zAAA","","Deal Documents","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxgEAC","","","42825610257898318","",""
"a0K3g000001QHZ1EAO","0053g000000ln7zAAA","","Generated Documents","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","42657092890297077","",""
"a0K3g000001QHZ2EAO","0053g000000ln7zAAA","","Generated Documents","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42835206189734254","",""
"a0K3g000001QHZ3EAO","0053g000000ln7zAAA","","Closing Documents","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42460452120495684","",""
"a0K3g000001QHZ4EAO","0053g000000ln7zAAA","","Participation Documents","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","42603017992608863","","a0K3g000001QHZ4EAO"
"a0K3g000001QHZ5EAO","0053g000000ln7zAAA","","TRID Disclosures","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42091071730012832","",""
"a0K3g000001QHZ6EAO","0053g000000ln7zAAA","","Organization Documents","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","42757911827528553","","a0K3g000001QHZ6EAO"
"a0K3g000001QHZ7EAO","0053g000000ln7zAAA","","Lease Documents","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42321371742310307","",""
"a0K3g000001QHZ8EAO","0053g000000ln7zAAA","","Estate Documents","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","42304519263730995","","a0K3g000001QHZ8EAO"
"a0K3g000001QHZ9EAO","0053g000000ln7zAAA","","Mortgage","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42678629694110800","",""
"a0K3g000001QHZAEA4","0053g000000ln7zAAA","","Financials","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","42139737372620396","","a0K3g000001QHZAEA4"
"a0K3g000001QHZBEA4","0053g000000ln7zAAA","","Compliance","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","TY-1033","34","a0K3g000001QHZBEA4"
"a0K3g000001QHZCEA4","0053g000000ln7zAAA","","Financials","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","TY-1036","37","a0K3g000001QHZCEA4"
"a0K3g000001QHZDEA4","0053g000000ln7zAAA","","Taxes","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","TY-1038","39","a0K3g000001QHZDEA4"
"a0K3g000001QHZEEA4","0053g000000ln7zAAA","","CIP","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","TY-1040","41","a0K3g000001QHZEEA4"
"a0K3g000001QHZLEA4","0053g000000ln7zAAA","","Special Assets","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","42940771052037872","","a0K3g000001QHZLEA4"
"a0K3g000001QHZMEA4","0053g000000ln7zAAA","","CIP","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","42711498333078130","","a0K3g000001QHZMEA4"
"a0K3g000001QHZNEA4","0053g000000ln7zAAA","","Corporate Docs","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","42021765717464790","","a0K3g000001QHZNEA4"
"a0K3g000001QHZOEA4","0053g000000ln7zAAA","","Trust Docs","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","42309861413967897","","a0K3g000001QHZOEA4"
"a0K3g000001QHZPEA4","0053g000000ln7zAAA","","Partnership Docs","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","42298923650816748","","a0K3g000001QHZPEA4"
"a0K3g000001QHZQEA4","0053g000000ln7zAAA","","Entity Docs","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","42100285252845832","","a0K3g000001QHZQEA4"
"a0K3g000001QHZREA4","0053g000000ln7zAAA","","Personal Checking & Savings","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","42908215531829056","",""
"a0K3g000001QHZSEA4","0053g000000ln7zAAA","","CD","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","42413784091528490","",""
"a0K3g000001QHZTEA4","0053g000000ln7zAAA","","Business Checking & Savings","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","42127599158493132","",""
"a0K3g000001QHZUEA4","0053g000000ln7zAAA","","Test","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","42118599124620025","",""
"a0K3g000001QHZVEA4","0053g000000ln7zAAA","","Personal Checking","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","42531132658009263","",""
"a0K3g000001QHZWEA4","0053g000000ln7zAAA","","Personal Savings","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","42425653570132441","",""
"a0K3g000001QHZZEA4","0053g000000ln7zAAA","","Underwriting","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42972211615614562","",""
"a0K3g000001QHZaEAO","0053g000000ln7zAAA","","Documentation","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42436638994033745","",""
"a0K3g000001QHZbEAO","0053g000000ln7zAAA","","Adverse Action","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42671230653796724","",""
"a0K3g000001QHZcEAO","0053g000000ln7zAAA","","Construction","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42954186381731752","",""
"a0K3g000001QHZdEAO","0053g000000ln7zAAA","","SBA","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42713032662469179","",""
"a0K3g000001QHZeEAO","0053g000000ln7zAAA","","Purchase Contract","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42834114648631916","",""
"a0K3g000001QHZfEAO","0053g000000ln7zAAA","","Modification","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42048278677234213","",""
"a0K3g000001QHZgEAO","0053g000000ln7zAAA","","Collateral","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxiEAC","","","42390467012536385","",""
"a0K3g000001QHZhEAO","0053g000000ln7zAAA","","Special Assets","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxiEAC","","","42307512136949978","",""
"a0K3g000001QHZiEAO","0053g000000ln7zAAA","","Compliance","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42420895503515143","",""
"a0K3g000001QHZjEAO","0053g000000ln7zAAA","","Vendor Documents","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","42865984317172240","","a0K3g000001QHZjEAO"
"a0K3g000001QHZkEAO","0053g000000ln7zAAA","","Renewal Documents","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","42407066715906407","",""
"a0K3g000001QHZqEAO","0053g000000ln7zAAA","","Financials","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","","a0J3g000000cflTEAQ","","kihfzdr7y3t7kbrn48","001",""
"a0K3g000001QHZuEAO","0053g000000ln7zAAA","","Business Checking","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","2b71whwvp45s60fmxr","",""
"a0K3g000001QHZvEAO","0053g000000ln7zAAA","","Business Savings","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","g0552sekn6y1euizcp","",""
"a0K3g000001QHZwEAO","0053g000000ln7zAAA","","PKG.CommercialClosing","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","tyz1is22ea5iajitu5","",""
"a0K3g000001QHZxEAO","0053g000000FhtiAAC","","Generated Forms","2020-10-12T19:27:33.000Z","0053g000000FhtiAAC","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxiEAC","","","uaznfigcp07b74m7a2","",""
"a0K3g000001QHZzEAO","0053g000000ln7zAAA","","Generated Forms","2020-10-12T19:27:33.000Z","0053g000000FhtiAAC","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxeEAC","","","0db6ld9ejdp1u2yo9d","","a0K3g000001QHZzEAO"
"a0K3g000001QHa2EAG","0053g000000FhtiAAC","","Generated Forms","2020-10-12T19:27:33.000Z","0053g000000FhtiAAC","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","c7fxtjqhf9wlio8cn1","",""
"a0K3g000001QHa3EAG","0053g000000FhtiAAC","","Generated Forms","2020-10-12T19:27:33.000Z","0053g000000FhtiAAC","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxgEAC","","","uq8sbu1jjuwqymkpjs","",""
"a0K3g000001QHa4EAG","0053g000000ln7zAAA","","a0K3g000001QHa4","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","vzn1kmf5m4kmnh1quo","",""
"a0K3g000001QHa5EAG","0053g000000ln7zAAA","","a0K3g000001QHa5","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","86bq2ycn9afzbglwk1","",""
"a0K3g000001QHa6EAG","0053g000000ln7zAAA","","a0K3g000001QHa6","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","vlx1wse695r5vdmqyq","",""
"a0K3g000001QHa7EAG","0053g000000ln7zAAA","","a0K3g000001QHa7","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","hhomi75wfd9ez1y2z7","",""
"a0K3g000001QHa8EAG","0053g000000ln7zAAA","","a0K3g000001QHa8","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","v7ki7s5k76jecut04e","",""
"a0K3g000001QHa9EAG","0053g000000ln7zAAA","","a0K3g000001QHa9","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","hgru8lgb0u3ws3asez","",""
"a0K3g000001QHaAEAW","0053g000000ln7zAAA","","a0K3g000001QHaA","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","y20kjh7k6lo2e79mxo","",""
"a0K3g000001QHaBEAW","0053g000000ln7zAAA","","a0K3g000001QHaB","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxhEAC","","","up0k0zh8ystdz5xagu","",""
"a0K3g000001QHaCEAW","0053g000000ln7zAAA","","a0K3g000001QHaC","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","654yx0t1s2mpkl45qk","",""
"a0K3g000001QHaDEAW","0053g000000ln7zAAA","","a0K3g000001QHaD","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","nv0qw87cpf8fiy29af","",""
"a0K3g000001QHaEEAW","0053g000000ln7zAAA","","a0K3g000001QHaE","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","qn0wk4441lx7k01zqj","",""
"a0K3g000001QHaFEAW","0053g000000ln7zAAA","","a0K3g000001QHaF","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","tfn7pn2fnlmauvkxv7","",""
"a0K3g000001QHaGEAW","0053g000000ln7zAAA","","a0K3g000001QHaG","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","8k6knv1ze5tsjc4h3j","",""
"a0K3g000001QHaHEAW","0053g000000ln7zAAA","","a0K3g000001QHaH","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","bm7rzdjyhehf194da0","",""
"a0K3g000001QHaIEAW","0053g000000ln7zAAA","","a0K3g000001QHaI","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","4tu7sf2nig543nb1bh","",""
"a0K3g000001QHaJEAW","0053g000000ln7zAAA","","a0K3g000001QHaJ","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","","eot7f4hwv352s4pjk2","",""
"a0K3g000001QHaKEAW","0053g000000ln7zAAA","","Inspection","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:48:30.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","a0J3g000000cflVEAQ","","jf21z8p2vo4wdg6g5l","",""
